,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,target
0,3228,1864,0,2,354,3,1353,6,5,2736,144,2929,3,0,1,3,3358,1785,3,3,Normal
1,4417,11,2,0,17,0,5258,9,0,5377,0,11,0,0,0,0,0,0,0,2,Anomaly
2,8150,4,2,0,17,0,5265,9,0,5451,0,4,0,0,0,0,0,0,0,2,Anomaly
3,4156,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
4,8556,5,2,0,17,0,5264,9,0,5435,0,5,0,0,0,0,0,0,0,2,Anomaly
5,3119,473,1,13,665,441,5212,3,1,5216,4553,64,111,559,1,3,139,65,56,0,Normal
6,6916,2174,1,4,339,20,2400,9,5,2530,1353,2339,2861,1979,1,3,2452,2565,5,1,Anomaly
7,6463,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
8,27,255,0,3,130,21,4872,3,1,5119,4385,336,23,1,0,0,0,0,36,0,Normal
9,9403,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
10,5746,3421,1,5,265,198,1078,6,5,1284,2178,3945,3698,3285,1,3,3117,2869,90,1,Normal
11,3459,1567,1,8,236,747,3557,6,5,2880,3614,1757,1432,4049,1,3,495,700,327,1,Anomaly
12,3937,3170,1,7,260,231,1556,6,5,1455,2449,3652,3059,2561,1,3,1055,630,72,1,Anomaly
13,8607,5,2,0,17,0,5264,9,0,5435,0,5,0,0,0,0,0,0,0,2,Anomaly
14,8646,4783,1,14,1063,407,1090,6,5,3174,1757,3862,3779,3304,1,3,2410,2129,43,1,Anomaly
15,9320,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
16,9363,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
17,3977,4814,1,2,680,5,208,9,5,1194,27,4729,9,0,1,3,2942,2802,8,1,Anomaly
18,5585,3,2,0,14,0,5266,9,0,5470,0,3,0,0,0,0,0,0,0,2,Normal
19,5316,2459,1,5,281,221,2251,6,5,2056,2665,2829,2673,1850,1,3,1396,1024,98,1,Normal
20,4275,9,2,0,48,0,5260,9,0,5431,0,9,0,0,0,0,0,0,0,2,Anomaly
21,9579,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
22,8103,7,2,0,17,0,5262,9,0,5406,0,7,0,0,0,0,0,0,0,2,Anomaly
23,4326,3,2,0,48,0,5266,9,0,5532,0,3,0,0,0,0,0,0,0,2,Anomaly
24,6768,4511,1,8,303,77,787,9,5,634,849,4148,4156,3368,1,3,2603,2354,17,1,Anomaly
25,840,2332,1,7,255,296,2565,6,5,2077,2779,2693,2013,1817,1,3,1634,499,89,1,Anomaly
26,4185,11,2,0,17,0,5258,9,0,5377,0,11,0,0,0,0,0,0,0,2,Anomaly
27,767,3444,1,5,272,408,1056,6,5,1292,2646,3974,3766,3064,1,3,1963,1109,171,1,Anomaly
28,1513,1,2,0,17,0,5268,9,0,5588,0,1,0,0,0,0,0,0,0,2,Anomaly
29,1191,10,2,0,17,0,5259,9,0,5385,0,10,0,0,0,0,0,0,0,2,Anomaly
30,5843,1353,0,2,344,3,2843,6,5,3249,511,1936,19,0,1,3,1643,1922,3,3,Normal
31,2155,3648,1,12,580,772,2270,3,1,2287,3329,3318,2336,4452,1,3,99,40,306,0,Normal
32,2528,1218,1,27,732,857,4069,3,1,3798,4525,989,971,1946,1,3,173,59,290,0,Normal
33,2689,2042,1,62,991,798,3995,3,1,3638,3659,1051,1038,3617,1,3,117,33,74,0,Normal
34,2558,157,0,2,28,14,4528,3,1,4295,4069,11,8,0,0,0,0,0,49,0,Normal
35,2276,344,1,7,375,136,4847,3,1,5057,4452,510,344,188,1,3,93,31,42,0,Normal
36,7209,1,2,0,48,0,5268,9,0,5653,0,1,0,0,0,0,0,0,0,2,Anomaly
37,9378,6,2,0,17,0,5263,9,0,5417,0,6,0,0,0,0,0,0,0,2,Anomaly
38,2682,763,1,12,548,353,4258,3,1,4409,3967,869,834,456,1,3,66,29,51,0,Normal
39,1599,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
40,8284,8,2,0,17,0,5261,9,0,5398,0,8,0,0,0,0,0,0,0,2,Anomaly
41,4501,4516,1,14,852,391,1651,6,5,2614,2132,3503,2945,2048,1,3,2952,2949,40,1,Anomaly
42,5261,4653,1,7,212,590,324,6,5,281,2429,4716,4502,3778,1,3,2989,2396,204,1,Anomaly
43,4944,4959,1,18,1293,495,1671,9,5,3608,1472,2711,3996,3460,1,3,2872,2984,34,1,Anomaly
44,4564,12,2,0,37,0,5257,9,0,5397,0,12,0,0,0,0,0,0,0,2,Anomaly
45,9479,3,2,0,17,0,5266,9,0,5476,0,3,0,0,0,0,0,0,0,2,Anomaly
46,8813,34,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Anomaly
47,3236,1650,0,2,354,3,2107,6,5,2975,212,2454,7,0,1,3,3071,3034,3,3,Normal
48,5644,8,2,0,14,0,5261,9,0,5394,0,8,0,0,0,0,0,0,0,2,Normal
49,1096,558,1,21,674,790,5210,3,1,5154,4989,100,68,554,1,3,215,29,243,0,Normal
50,3924,1,2,0,48,0,5259,9,0,5421,0,10,0,0,0,0,0,0,0,2,Anomaly
51,9738,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
52,2740,1128,1,25,706,855,4203,3,1,3945,4625,887,890,1605,1,3,109,37,304,0,Normal
53,7340,0,2,0,1,0,0,0,0,0,0,5074,0,0,0,0,0,0,0,2,Normal
54,9471,9,2,0,17,0,5260,9,0,5391,0,9,0,0,0,0,0,0,0,2,Anomaly
